file,RT20,RT30,EDT,C50,C80,D50,D80,oct_band_T20_31hz,oct_band_T20_63hz,oct_band_T20_125hz,oct_band_T20_250hz,oct_band_T20_500hz,oct_band_T20_1000hz,oct_band_T20_2000hz,oct_band_T20_4000hz,oct_band_T20_8000hz,oct_band_T20_16000hz,Color,Spatiality,Composition,Shape,Material
21_newgrange_s6r1.wav,0.2295363839674298,0.2792101916374246,33.37557051044007,23.77102,29.672258,0.99582106,0.99892306,23.217947475064413,20.83757427980552,0.4926425950445273,0.3570758244643122,0.2690378601209279,0.2137141931003571,0.2794347815858476,0.2692677770365871,0.2766426188797646,0.233787585194175,0.21,0.618,0.1325,0.4475,0.392
"22_Holy Trinity Church, Goodramgate (Position1).wav",0.9999182024816788,1.0748741985969006,0.6257665267126039,4.8123355,6.878808,0.7517713,0.8297567,13.635342422841624,11.919234119874432,0.6248633483965219,0.8570939662639602,1.2599288207857875,1.1855248465632446,1.254702013779259,1.0992879036311138,0.9467184477277678,0.719737497861085,0.318,0.5605,0.455,0.5315,0.754
23_Creswell Crags (1_r_rhcbottom_s_rhc_bottom).wav,1.5336848095525903,1.513699247522606,2.042194843103679,4.580246,5.7632256,0.741665,0.79034907,2.2889066846137434,1.9003724333870344,2.9046236896226136,2.531689425921317,1.4798927154364985,1.6331182653748355,1.2794409513023366,1.515929908816327,1.3104321783567792,1.0485957461835624,0.45,0.536,0.4845,0.8315,0.499
24_Innocent Railway Tunnel (tunnel_entrance_a_4way_bformat).wav,0.4662802674465833,0.9955949553510768,0.2522928693530362,12.040824,16.361702,0.94117165,0.9774105,7.456015352753115,7.801284962896194,0.7692235298518625,0.4284521344454495,0.5121295498455432,0.2903151060004665,0.4094223365215351,0.3658189219760118,0.3309878262596023,0.3021632429991835,0.8005,0.514,0.2395,0.63,0.5395
25_Hoffmann Lime Kiln (ir_p1).wav,0.7981202819125258,1.041240824711022,0.4664436108531168,6.244922,9.510694,0.80813646,0.89934057,9.09104844025797,0.7994256756823127,1.4238924454390178,1.4010302810131985,0.9409717706844866,0.6873313052806259,0.6142696318287459,0.4685345876724747,0.3397103060071945,0.2852380850716088,0.125,0.531,0.008,0.527,0.7404999999999999
"26_Ron Cooke Hub, University of York( fsfr).wav",1.478247567614986,1.498486641730038,1.361272974394684,0.23220687,2.671269,0.5133637,0.6490993,1.058362577602891,2.2561907492922604,1.6233030538967128,1.3845689370826408,1.4184701605189975,1.5023725512081771,1.6043976464897554,1.524971828828854,1.2522207380396673,0.9127320187972048,0.4609999999999999,0.539,0.441,0.129,0.6885
"27_T2 Hangar, Yorkshire Air Museum (AM_spist_S2R1).wav",4.137701366030563,4.249396316212246,6.591231724165733,-7.819686,-5.5276017,0.14178422,0.2187822,13.060486905287265,21.36908124231522,24.980223460183037,22.056978742464665,3.1321002324072844,3.775996887005308,4.424188411576825,3.9731728317585446,2.3133155159996077,1.1667526151791563,0.4125,0.2319999999999999,0.213,0.344,0.1755
"28_Arthur Sykes Rymer Auditorium, University of York (s2r4).wav",0.3427451041215724,0.3681956089201963,0.36887416214998,14.639061,19.641685,0.9667782,0.9892566,2.4906248587786077,3.1745326007851853,1.090409626461838,0.4799708269351868,0.3635010894822456,0.4159913286179116,0.3823263375956084,0.3639465216145457,0.3124368262381354,0.2363897124326504,0.88,0.696,0.4494999999999999,0.3695,0.516
29_Falkland Palace Bottle Dungeon.wav,1.7051064817719517,1.901911874880917,1.1191076851337052,0.6339544,3.394765,0.5364287,0.68604064,1.640717356125179,1.2101014243376822,2.5620024361596836,1.341096166306884,2.153917445082303,1.4534580194754918,1.0616643667836254,0.7560087586339496,0.6179524104938487,0.385796517487903,0.2505,0.434,0.737,0.424,0.096
30_gill-heads-mine.wav,0.2522150414048642,0.461674979008618,0.2070549180688785,16.26365,22.355177,0.9769064,0.99421936,6.115819557789537,30.398618586551347,1.1988537562219208,0.6565418691176598,0.4396093452086098,0.3102507041302995,0.2531824364321952,0.2122729527213523,0.2049788600064863,0.1949305386653311,0.2785,0.288,0.579,0.6615,0.518
"31_St. Patrick’s Church, Patrington v (soundfield_s1r1).wav",1.6826526010663228,1.727134577573961,1.53312790446971,0.4055643,2.5995386,0.5233292,0.6453281,21.551040037616215,1.6758790887853847,1.7920947506166034,1.533390380381458,1.7590673850766747,1.692379106046591,1.914894312748339,1.6594793103555228,1.4102755226853128,0.95345666572665,0.4564999999999999,0.656,0.26,0.437,0.6945
32_St. Paul’s Cathedral (bformat_P1 - S Dome R Nave Average).wav,9.504522434498169,10.917100446134164,6.257419715245759,-1.05885,-0.44797534,0.43934783,0.4742353,2.6776309178983784,71.497241800075,12.180570545147871,10.62178361566983,11.235641462583244,10.998692489328732,8.995174190029852,6.668593518823545,3.9816808206734713,2.236691517544106,0.3905,0.8175,0.187,0.6145,0.6625000000000001
33_Heslington Church.wav,1.602940992884497,1.6287792828498349,1.4476006556662937,-2.4805608,0.5250101,0.36096683,0.5301852,10.71685793064242,1.7367593733682345,0.9810073229181052,1.3501685518133153,1.7475104992769732,1.8478477861609583,1.6913004660853432,1.4797267649840486,1.1212634391432776,0.8188445041878808,0.6155,0.361,0.6185,0.648,0.6725
34_terrys_typing_b_format.wav,2.24633717233534,2.472850246155393,1.3490652105428746,2.3660548,3.9161901,0.6329294,0.7113062,36.11578460537832,1.7286124298180303,1.312938721672657,1.3209511743894924,2.089285884520963,2.9286399139553017,2.7488357187864527,2.055138297148516,1.4549854050539035,0.725304267304926,0.3335,0.4515,0.6125,0.6915,0.7235
35_St. Margaret’s Church – National Centre for Early Music (r1_1st_configuration).wav,1.4454015072878343,1.4716705907913292,1.3130138023076323,0.9659881,3.162389,0.5553787,0.6744029,69.44260387085933,1.991029803780114,1.3886906660937302,1.7635552094245683,1.7355567420583622,1.6071364251829945,1.4438747101856828,1.26050516527667,1.1472707897885326,0.7571020399850801,0.792,0.502,0.4695,0.5505,0.275
36_theatre41_HL01_bformatIR_48k.wav,0.7326027011078619,0.763457936003225,0.586695192588891,4.9363766,8.234874,0.7570627,0.86945516,8.211454982361264,1.149932700884673,1.0297291456285012,1.0015145193738884,0.9419090366966252,0.7433405943973166,0.798254362653969,0.7623652108549992,0.6902391072919014,0.5773548988931839,0.441,0.494,0.859,0.562,0.44
37_The Shrine and Parish Church of All Saints North Street (r1_90_bformat).wav,1.574834627920097,1.617255176624775,1.5285312177306976,-2.2185314,0.6798637,0.37499762,0.5390564,1.3940106568879986,165.22628087130715,2.192856746356492,1.3588620521380643,1.4311547759678709,1.7366726890018518,1.792238568266889,1.5939671862748956,1.2552687416883517,0.8172777381379495,0.3289999999999999,0.5155000000000001,0.158,0.3925,0.36
38_Genesis 6 Studio – Live Room Drum Set Up (kick_ir).wav,0.2230222736327885,0.2410758282009324,0.2080094983996665,15.620008,22.952885,0.9733157,0.99495894,7.265752329500905,0.5603198274069292,0.8014895364431679,0.3600760841939504,0.1855786059882795,0.2303189226524191,0.1950575062837873,0.2033968432394602,0.260337786125655,0.2430608662177613,0.688,0.3904999999999999,0.4075,0.618,0.4925
39_Genesis 6 Studio – Live Room Drum Set Up (crash_ir).wav,0.2125816160649913,0.2283350259679588,0.2231863633530346,14.234291,22.655327,0.9636511,0.99460346,9.535043123521683,0.5727635453305832,0.7346880494033133,0.3048381465606499,0.2292912541781994,0.1976892454427314,0.1912259307005031,0.2014618982913711,0.2101814586317297,0.1989917951133929,0.6675,0.3255,0.692,0.5469999999999999,0.4014999999999999
"40_Lady Chapel, St Albans Cathedral.wav",2.116241350239218,2.319920158494991,1.2879573336612304,5.060376,6.547751,0.7622753,0.81871647,1.7266669564569226,2.522296317748581,3.0132618124323245,3.152243177914351,2.630230546356846,2.383965894200146,2.242363580241024,2.0611898343410906,1.6068393090293012,0.92791079118927,0.7775,0.643,0.2774999999999999,0.3435,0.648
"41_Sports Centre, University of York.wav",5.583760861900197,6.106061716520462,4.993117156212038,-3.4138691,-2.4412014,0.3130126,0.36305994,13.901822370786384,4.54188841635445,2.912399627517242,4.955010195773242,6.151171222946527,6.656371419858357,6.392528537928246,4.714880862936365,3.957144871850745,2.1781073259119608,0.638,0.2855,0.355,0.8895,0.351
42_theatre41_C01_bformatIR_48k.wav,0.6833427607190538,0.7317312331090635,0.3678848650917451,6.0633397,9.256982,0.8015698,0.8939271,21.47101875494766,0.8737682544462472,0.8430771734985308,0.8730061295591685,0.9550477880463624,0.8850024398839331,0.7748929977543105,0.7242751483439104,0.6433265759071911,0.505001416952822,0.661,0.8685,0.128,0.714,0.53
43_theatre41_HR01_bformatIR_48k.wav,0.7253624949243308,0.7615398555991397,0.5509291426670936,6.278772,9.504069,0.8093421,0.8992023,12.069455229809488,1.2356444618258031,1.0405465000275238,1.077409452250954,0.8808199920963881,0.8031011845015403,0.8212930373208677,0.7634610708417328,0.6976846017061128,0.5894916210955528,0.4974999999999999,0.3645,0.8009999999999999,0.6895,0.1865
44_terrys_warehouse_b_format.wav,8.931086234810625,12.525278222671954,6.348584032929538,-4.244539,-2.045783,0.27341968,0.3843656,11.010615104875818,31.36051631171812,31.62607433140292,49.310835431504024,7.486108366071228,9.499349561199576,10.223098654307917,7.563290785093097,5.018543061990633,2.105428821616914,0.782,0.68,0.217,0.544,0.4599999999999999
45_Creswell Crags (2_r_rhcbottom_s_rhc_mouth).wav,0.7494022251384101,1.1621835346204596,0.4579982188901408,9.252653,13.294148,0.8938325,0.95525885,1.071627658894173,2.2575495350917767,2.8758817965071124,1.5604756774017283,1.0023765641122209,1.160078833853332,0.8830897324185372,0.672867782947748,0.5568745145598721,0.4255799625119609,0.335,0.204,0.616,0.3675,0.243
46_newgrange_s1r1.wav,0.2147886650357496,0.2545534802946116,2.171437527301991,21.325655,28.00037,0.9926847,0.99841785,20.331854373017514,0.6467776624571338,0.5179229928517666,0.4137769865674933,0.2355473129793329,0.2536354921223294,0.2304998474349535,0.2764192602449669,0.2640421058143196,0.2061736901202546,0.516,0.685,0.546,0.4519999999999999,0.5800000000000001
47_York Guildhall Council Chamber (councilchamber_s1_r1_ir_1_96000).wav,0.8788414725192895,0.8876816812068128,0.805666007787229,1.4525361,4.677809,0.5828438,0.7459457,11.905658793790757,1.2395737999390706,0.9535873929626496,0.7072083213975805,0.8153309538393325,0.9161308548648596,0.9722293966368968,0.8694534042151858,0.7853305526452216,0.6355676678499538,0.5705,0.8385,0.7585,0.3545,0.6425000000000001
48_Jack Lyons Concert Hall (rir_jack_lyons_lp1_96k).wav,1.7416063928396024,1.887030389132413,1.5820929057006383,-1.8033965,0.30757403,0.39765456,0.51769793,0.5777299222761795,4.810906795501502,2.006926209308541,1.964871491813,1.779782597463568,1.8099439604273664,1.770847743540028,1.7299415500260702,1.2453008869750597,0.926440452259333,0.434,0.52,0.6635,0.4105,0.487
